Reward,Throughput,Latancy,BLER,PRBs,Each_time,Totel_time
1.535752,153.5752,1908.40888,0.172564,1.367,0.131820679,9.679010868
2.370296,237.0296,1958.47653,0.155306,1.355,0.260052204,9.807242393
0.714272,71.4272,2194.48329,0.12754,0.455,0.391991854,9.939182043
2.110712,211.0712,2269.70365,0.114872,1.255,0.128213882,10.06739807
1.655808,165.5808,2366.16682,0.10501,1.3,0.260206461,10.19939065
2.261344,226.1344,2400.21023,0.096162,1.18,0.388662815,10.327847
2.527512,252.7512,2398.73426,0.087166,1.363,0.131476402,10.45932531
2.091792,209.1792,2392.76804,0.082028,1.145,0.259790182,10.58763909
2.451408,245.1408,2359.6629,0.075478,1.275,0.391716242,10.71956515
2.024264,202.4264,2383.20429,0.063746,1.177,0.128384829,10.84795237
2.572824,257.2824,2379.55621,0.061406,1.225,0.260021687,10.97958922
2.741032,274.1032,2391.28366,0.114284,1.354,0.388707399,11.10827494
2.584768,258.4768,2387.81292,0.173436,1.336,0.131487608,11.23976469
2.140208,214.0208,2181.77094,0.149792,1.187,0.260266542,11.36854362
1.912224,191.2224,2174.62968,0.134812,1.299,0.391372442,11.49964952
2.334264,233.4264,2154.93023,0.121332,1.177,0.128917694,11.62856889
1.919616,191.9616,2209.15359,0.101306,1.155,0.26897645,11.76862764
2.495096,249.5096,2245.75784,0.091174,1.401,0.400456429,11.90010762
2.62592,262.592,2227.14047,0.082056,1.28,0.129007101,12.02911687
1.69672,169.672,2225.26017,0.084026,0.851,0.259866238,12.15997601
2.27968,227.968,2281.28534,0.188566,1.16,0.38911128,12.28922105
2.731872,273.1872,2113.37301,0.22234,1.405,0.131150246,12.42037344
2.16264,216.264,2104.02519,0.192844,1.068,0.271325827,12.56054902
0.932136,93.2136,2334.9071,0.167836,0.462,0.411000729,12.70022392
2.778976,277.8976,2356.17104,0.186564,1.337,0.14052844,12.84075475
1.648696,164.8696,2398.556,0.3402,0.818,0.280097246,12.98032355
1.834392,183.4392,2394.99285,0.403616,0.937,0.410485744,13.11071205
2.444792,244.4792,2377.88234,0.340642,1.214,0.142426014,13.28955626
2.386672,238.6672,2258.82088,0.308192,1.172,0.273173332,13.42030358
1.708416,170.8416,2307.0588,0.293396,0.865,0.413517237,13.56064749
2.577896,257.7896,2300.12994,0.314824,1.3,0.140022278,13.70067191
2.698336,269.8336,2183.9971,0.279184,1.39,0.280032873,13.84068251
1.22876,122.876,2211.03696,0.243406,0.635,0.421294212,13.98194385
2.654416,265.4416,2241.07633,0.219066,1.34,0.139089584,14.12103534
2.59888,259.888,2145.82155,0.292402,1.388,0.279083014,14.26102877
0.808152,80.8152,2379.48083,0.268712,0.409,0.418893814,14.40083957
2.732496,273.2496,2405.59204,0.224512,1.389,0.140111208,14.54095316
2.837576,283.7576,2289.80435,0.19723,1.411,0.280113697,14.68095565
2.67844,267.844,2268.49174,0.179188,1.381,0.420226812,14.82106876
3.017096,301.7096,2226.93414,0.16017,1.458,0.140097141,14.96116781
1.962408,196.2408,2247.62379,0.147868,1.018,0.280006409,15.10107708
2.768288,276.8288,2232.45993,0.126072,1.386,0.420245409,15.24131608
1.633648,163.3648,2250.18518,0.245534,0.784,0.140241861,15.38156033
2.596368,259.6368,2172.04934,0.314604,1.238,0.279969931,15.52128839
2.600408,260.0408,2119.33922,0.276582,1.268,0.419949532,15.661268
2.253176,225.3176,2110.98718,0.25089,1.124,0.139990568,15.80126119
1.5892,158.92,2151.2268,0.34801,0.773,0.280158758,15.94142938
2.334224,233.4224,2139.19169,0.388108,1.116,0.420033693,16.08130431
2.500776,250.0776,2110.5111,0.357992,1.255,0.141956568,16.22326255
2.54612,254.612,2050.45911,0.337592,1.299,0.2803936,16.36169958
1.65604,165.604,2067.54173,0.4591,0.811,0.420418262,16.50172424
2.057824,205.7824,2090.19414,0.434776,1.014,0.139925241,16.64165163
2.757072,275.7072,2046.16202,0.472634,1.4,0.279983759,16.78171015
2.740816,274.0816,1887.74208,0.468228,1.385,0.420022249,16.92174864
1.820464,182.0464,1881.26091,0.541544,0.907,0.140026569,17.06177807
1.713872,171.3872,1973.61102,0.492286,0.872,0.280876875,17.20262837
2.15428,215.428,1989.90372,0.409886,1.177,0.421093941,17.34284544
2.774728,277.4728,1998.60532,0.358878,1.362,0.139164209,17.4820118
2.400976,240.0976,1973.24962,0.32627,1.252,0.279065847,17.62191343
2.184456,218.4456,1974.76759,0.283194,1.091,0.419849157,17.76269674
1.431584,143.1584,2126.61035,0.274232,0.771,0.139900446,17.9025991
2.921656,292.1656,2093.0818,0.241112,1.447,0.279646397,18.04234505
2.450368,245.0368,2031.2394,0.209638,1.216,0.419387579,18.18208623
2.280176,228.0176,1801.89973,0.190328,1.235,0.140131712,18.32222009
2.45004,245.004,1782.13244,0.154166,1.23,0.300277233,18.48236561
2.556472,255.6472,1741.12648,0.13875,1.282,0.440350533,18.62243891
2.955792,295.5792,1755.59096,0.240752,1.406,0.140038967,18.76248002
1.94344,194.344,1747.22667,0.623854,0.95,0.279985189,18.90242624
2.793408,279.3408,1732.00922,0.825448,1.394,0.419991255,19.04243231
2.4392,243.92,1729.19408,0.716896,1.322,0.140359402,19.18279338
1.495296,149.5296,1851.79771,0.668136,0.797,0.280179977,19.32261395
1.270008,127.0008,2038.0148,0.641976,0.676,0.421281338,19.46371531
1.488768,148.8768,2174.0676,0.55513,0.844,0.139133215,19.60285091
1.494704,149.4704,2306.65042,0.469566,0.863,0.279971361,19.74368906
1.739432,173.9432,2342.68104,0.404688,1.095,0.419235468,19.88295317
1.33636,133.636,2497.56583,0.36422,0.78,0.139920473,20.02287579
1.72004,172.004,2574.52604,0.30794,1.206,0.279819489,20.1627748
1.98636,198.636,2629.55381,0.265514,1.277,0.41995573,20.30291104
1.744448,174.4448,2491.68234,0.215066,1.182,0.14492774,20.48473215
2.08932,208.932,2234.23098,0.185254,1.232,0.303124428,20.64292884
2.362992,236.2992,2147.67797,0.159484,1.261,0.443281651,20.78308606
2.260288,226.0288,2140.10949,0.143536,1.245,0.140269041,20.92335749
2.383936,238.3936,2089.09782,0.121488,1.213,0.280063868,21.06315231
2.456464,245.6464,2049.50754,0.107916,1.205,0.420004129,21.20309258
2.970968,297.0968,1999.87421,0.184346,1.472,0.140533447,21.34362793
2.092192,209.2192,1961.94223,0.165736,1.177,0.280154705,21.48324919
2.427176,242.7176,1977.62876,0.149162,1.2,0.420289278,21.62338376
2.557368,255.7368,1925.27891,0.125204,1.231,0.139964342,21.76335073
1.95588,195.588,1906.30295,0.113586,1.013,0.280273676,21.90366006
2.425232,242.5232,1925.17633,0.119724,1.141,0.420335293,22.04372168
1.838568,183.8568,2053.89092,0.257676,0.886,0.15992403,22.20364857
1.7772,177.72,2124.79746,0.34163,0.884,0.299759388,22.34348392
